point_numer;y_coord;x_coord;h_coord;eliminated;session_name
6005444;2629812.516;1240383.915;435.129;;SE9
6005407;2629888.701;1240338.023;436.264;;SE9
629887240337;2629887.946;1240337.863;436.363;;SE9
6004038;2629610.756;1240313.667;440.483;;SE9
629609240312;2629610.305;1240312.920;440.468;;SE9
629604240314;2629605.279;1240315.255;440.343;;SE9
629604240316;2629605.323;1240316.699;440.342;;SE9
629603240317;2629604.419;1240317.737;440.193;;SE9
6005512;2629656.761;1240351.466;438.746;;SE9
6005456;2629715.745;1240392.834;435.294;;SE9
6005397;2629774.559;1240036.113;435.385;9999.;SE9
6005282;2629890.327;1239757.611;428.639;;SE9
630256239784;2630257.255;1239785.184;426.856;;SE9
6005272;2629976.228;1240224.230;439.841;;SE9
6005271;2629905.036;1240201.775;443.120;;SE9
6005270;2629830.647;1240176.437;447.376;9999.;SE9
6005269;2629753.731;1240141.877;444.907;9999.;SE9
629607240107;2629607.696;1240107.976;437.687;;SE9
629607240114;2629608.269;1240114.739;438.534;;SE9
629614240116;2629614.599;1240116.628;438.566;;SE9
629621240114;2629622.460;1240115.001;438.321;;SE9
6005200;2629529.956;1240202.732;442.048;;SE9
629528240212;2629528.592;1240213.133;441.889;;SE9
629522240218;2629523.195;1240219.185;441.804;;SE9
629469240280;2629470.270;1240280.979;438.784;;SE9
629469240285;2629470.326;1240285.538;438.573;;SE9
629475240284;2629476.131;1240285.092;438.484;;SE9
629477240271;2629477.949;1240272.274;439.104;;SE9
629475240312;2629476.351;1240312.312;437.165;;SE9
629476240403;2629477.094;1240403.486;434.303;;SE9
629471240404;2629471.767;1240404.799;434.323;;SE9
6005339;2629473.703;1240399.458;434.464;;SE9
6005458;2629423.963;1240476.292;433.023;;SE9
6005392;2629369.846;1240515.399;430.638;;SE9
6005198;2629467.358;1240359.771;435.004;;SE9
629464240356;2629464.949;1240356.958;435.267;;SE9
6005482;2629385.250;1240293.083;435.211;;SE9
6005387;2629431.336;1240229.831;438.747;;SE9
629486240165;2629487.009;1240166.091;440.349;;SE9
6005398;2629683.707;1240050.979;433.272;;SE9
11085480;2630908.862;1240356.937;450.828;;SE9
